title,link,author,pubDate,description,text
['gouvernement travaille symbiose total Kais Saied porte-parole'],https://africanmanager.com/le-gouvernement-travaille-en-symbiose-totale-avec-kais-saied-selon-son-porte-parole/,['African Manager'],"['Wed', 'aug 14:01:06 +0000']","['gouvernement travaille harmonie total président république Kais Saied vision affirmé&160 porte-parole et&160 ministre l&8217;Emploi', 'Nasseredine Nsibi', 'propager l&8217;ordr rumeur&160 -t il ajouter mercredi onde shem fm indiquer']",
['tunisie d ’ argent acheter produire pétrolier \xa0    d ’ ici septembre'],https://africanmanager.com/la-tunisie-a-telle-assez-dargent-pour-acheter-des-produits-petroliers-dici-septembre/,['African Manager'],"['Wed', 'aug 13:14:27', '+0000']","['l ’ expert international secteur pétrolier Mahmoud', 'el May déclarer mercredi août Tunisie n ’ acheter quantité programmée gasoil produit pétrolier cause manqu liquidité quantité restant racheter août choisir puiser r stock stratégique']",
['Chine mettre premier menace exécution contre Taïwan'],https://africanmanager.com/la-chine-met-ses-premieres-menaces-a-execution-contre-taiwan/,['African Manager'],"['Wed', 'aug 13:04:00', '+0000']","['Chine déployer mercredi août salve sanction commercial contre Taïwan exercice militaire l ’ île réaction visite président chambre représentant américain', 'Nancy Pelosi être annoncer déplacement démocrate américain important élu américain']",
['l ’ Opep+ discut stratégie pression américain'],https://africanmanager.com/lopep-discute-strategie-sous-pression-americaine/,['African Manager'],"['Wed', 'aug 12:57:19', '+0000']",['pays l&8217;Opep+ entamer réunion mercredi Vienne discuter stratégie production pétrol regard joe Biden récemment courtiser l&8217;arabie saoudite tenter d&8217;enrayer flambé cours jusqu&8217;à présent l&8217;organisation pays exportateurs pétrol Opep emmener ryad alliés conduit'],
['Ghannouchi maill partir justice'],https://africanmanager.com/de-nouveau-ghannouchi-a-maille-a-partir-avec-la-justice/,['African Manager'],"['Wed', 'aug 12:54:56 +0000']","['mouvement Ennhadha accuser mercredi autorité tenter d&8217;intimider opposant affirmer policer nouveau enquête&160 contre chef Rached Ghannouchi', 'partir déclarer que&160 dernier fait&160 l&8217;objet d&8217;une enquête qu&8217;il soupçonner d&8217;avoir qualifier force sécurité tyrannique nier tenir']",
"['Lancement identité électronique national', 'portable']",https://africanmanager.com/lancement-de-la-premiere-identite-electronique-nationale-sur-le-portable/,['African Manager'],"['Wed', 'aug 12:12:14 +0000']",['ministre Technologies communication Nizar Néji annoncer lancement identité électronique national portable mobileid permettre accès sûr rapide service administratif retraire document officiel lign Intervenant mercredi d ’ conférence press tenir paler gouvernement'],
['parachèvement procédure relatif l ’ indemnisation magistrat révoquer'],https://africanmanager.com/parachevement-des-procedures-relatives-a-lindemnisation-des-magistrats-revoques/,['African Manager'],"['Wed', 'aug 11:15:22 +0000']","['ministère Justice annoncer mercredi parachèvement procédure nécessaire relatif l&8217;indemnisation magistrat révoquer vertu décret présidentiel numéro premier juin', 'magistrat concerner reçu indemniter juillet écouler précise département communiquer publier mercredi ministère', '']",
['coalition \xa0   Soumoud \xa0   appeler saied lancer dialogue apporter amendement text constitution'],https://africanmanager.com/la-coalition-soumoud-appelle-saied-a-lancer-un-dialogue-pour-apporter-des-amendements-au-texte-de-la-constitution/,['African Manager'],"['Wed', 'aug 11:11:55', '+0000']",['coalition Soumoud appeler président république Kais saied lancer dialogue national s&8217;accorder amendement nécessaire texte constitution juin coalition plaider équilibre l&8217;exécutif pouvoir l&8217;élaboration d&8217;une loi électoral participatif'],
['d ’ augmentation prix manuel scolaire'],https://africanmanager.com/pas-daugmentation-dans-les-prix-des-manuels-scolaires/,['African Manager'],"['Wed', 'aug 11:07:10 +0000']",['prix manuel scolaire l ’ année scolaire demeurent inchangé aucun augmentation n ’ être introduire rapport l ’ année dernier souligné source responsable centre national pédagogique CNP déclaration l ’ agence tap responsable ajouté manuel scolaire actuellement disponible librairie attendre'],
"['bna', 'pnb MDT mois']",https://africanmanager.com/bna-un-pnb-de-450-mdt-en-6-mois/,['communiquer'],"['Wed', 'aug 09:35:30 +0000']","['l ’ en-cours créance clientèle net provision agio réserver atteindre bna 13.586 million dinar 30.06.2022 contre 11.537 million dinar 30.06.2021 enregistrant augmentation 17,8 dépôt clientèle enregistrer juin Juin augmentation million']",
